discription,name,是否测试,civitai_url,prompt,high_noise_lora,high_noise_lora_id,low_noise_lora,low_noise_lora_id,,,,,,,,,,,,
Face Fuck Hard,Face Fuck Hard,已测试,https://civitai.com/models/2023407,"a woman is kneeling in front of a man, she is gasping for air, he is grabbing her head and pulls her head towards his penis, then he starts face fucking her, he is grabbing her head and rapidly moving her head back and forth along the length of the penis, then he starts rapidly thrusting his hips back and forth moving the penis inside her mouth, she is gagging",LORA_I2V_Face_Fuck_Hard_H.safetensors,2383114,LORA_I2V_Face_Fuck_Hard_L.safetensors,2383158,,,,,,,,,,,,
POV Missionary Insertion Cut,POV Missionary Cut,已测试,https://civitai.com/models/1983608,"Immediately cut to a new scene where the exact same person is now completely naked and lying on their back, and she moves her head forward slightly. The scene is a top-down view showing the same woman completely nude, with their legs in an open position, with her vagina visible. At the bottom of the frame a man can be partially seen, as the man takes his penis with his hand and inserts his penis into the woman's vagina, pushing his body towards her. He then moves back and forward, as he pushes his penis into the woman's vagina repeatedly. The angle is from the point of view of the man at the bottom of the frame.",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
POV Missionary Insertion Magic Wand,Missionary Magic Wand,已测试,https://civitai.com/models/1983608,"a hand holding a magic wand appears from the bottom of the screen and shoots a powerful gust of sparkles at the woman, ripping her clothing and sending the ripped fabric flying off into the distance, she is flung backwards as the powerful blast knocks things over and she's stumbling back as she loses her balance. she lands on the bed with her legs spread and realizes she is completely naked {only wearing {pink|} fishnet thighhighs|}. then at the bottom of the frame a man can be partially seen, as the man takes his penis with his hand and inserts his penis into the woman's vagina, pushing his body towards her. He then moves back and forward, as he pushes his penis into the woman's vagina repeatedly. The angle is from the point of view of the man at the bottom of the frame. she moans and screams, grimacing from pain and agony",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
POV Missionary Insertion Undress,POV Missionary Undress,已测试,https://civitai.com/models/1983608,"The camera zooms in. She is lying down on her back, spreading her legs. She opens her shirt exposing her breasts and nipples. Her breasts are bouncing. At the bottom of the frame a man can be partially seen, as the man inserts his penis into the her vagina, pushing his body towards her. He then moves back and forward, as he pushes his penis into her vagina repeatedly. The angle is from the point of view of the man at the bottom of the frame.",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
POV Missionary Insertion Lying Down,Missionary Lying Down,已测试,https://civitai.com/models/1983608,"She is lying down on her back, She lifts and holds her legs wide open, her innie vagina is visible. The scene is a top-down view.
Her shirt opens exposing her small breast and nipples.
At the bottom of the frame a man can be partially seen, as the man inserts his penis into the her vagina, pushing his body towards her. He then moves back and forward, as he pushes his penis into her vagina repeatedly. The angle is from the point of view of the man at the bottom of the frame.
Her breasts are bouncing.",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
POV Missionary Insertion On Bed,Missionary On Bed,已测试,https://civitai.com/models/1983608,"front view of woman on bed. she spread her thighs, revealing her pussy. camera move up, showing top down view. | man appears at bottom frame. he grab the woman's thighs. he insert his penis into woman's vagina, moving his body and thighs. woman looks at camera erotically.",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
POV Missionary Insertion Shocked,Missionary Shocked,已测试,https://civitai.com/models/1983608,"the woman moves her hand in front of her mouth, looking shocked | then it slowly cuts to a new scene where the exact same person is now lying on their back. The scene is a top-down view showing the same woman only wearing her blue sleeveless top, with their legs in an open position, with her vagina visible. she has a muscular body with big breasts and visible abs. At the bottom of the frame a man can be partially seen, as the man takes his penis with his hand and inserts his penis into the woman's vagina, pushing his body towards her. He then moves back and forward, as he pushes his penis into the woman's vagina repeatedly. The angle is from the point of view of the man at the bottom of the frame.",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
POV Missionary Insertion Smiling,Smiling Missionary,已测试,https://civitai.com/models/1983608,"she is smiling and waving her hands to the viewer.a moment later the camera makes a hard cut to POV view  of the the exact same. woman lying on her back with her legs spread, wearing her top while, her bottom are removed, with her vagina exposed and staring up at the viewer without breaking contact while having sex with a nude and his penis is already in the woman's vagina. she lift her top up to her neck level with her hands to reveal her breasts and nipples.
The nude man is thrusting his penis back and forth inside her vagina causing her body to rock up and down. Movements are fast and with bouncing breasts. motion are fast and rapid.
the man body is barely visible at the bottom,
she is moaning in pleasure.
camera is still and steady.",LORA_I2V_POV_Missionary_Insertion_H.safetensors,2245356,LORA_I2V_POV_Missionary_Insertion_L.safetensors,2245426,,,,,,,,,,,,
Doggy Slider,Doggy Slider,已测试,https://civitai.com/models/1987345,"Camera zooms out right away to reveal her on all fours, naked, ass in the air, having fast, rough, intense sex with a man behind her. The man is thrusting is penis inside her from behind, causing her hips to jolt with each impact. she keeps looking at the camera throughout the whole video",LORA_I2V_Doggy_Slider_H.safetensors,2249683,LORA_I2V_Doggy_Slider_L.safetensors,2249697,,,,,,,,,,,,
Breast Play Lifted Up,Breast Play,已测试,https://civitai.com/models/1967237,"A video of best quality and hyperdetailed. She adjusts her tops to peep on her perfectly shaped breasts. She lifted the tops up so the viewer can see her breasts and nipples completely as she looks at the camera. 

The scene is a front view showing the woman walking.  She still lifted the tops up so the viewer can see her breasts and nipples completely as she looks at the camera. She doesn't adjust the tops. And then she pushes breasts them together with her hands seductively. She smiles playfully at camera. Finaly, she stopped touching her breasts. Zoom out from the character.",LORA_I2V_Breast_Play_V2_H.safetensors,2230125,LORA_I2V_Breast_Play_V2_L.safetensors,2230133,,,,,,,,,,,,
Breast Play Pull Down,Pull Down Breast ,已测试,https://civitai.com/models/1913617,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the man with a seductive stare. She keeps looking at the camera.
She don't adjusts the dress. And then she pushes breasts them together with her hands seductively. She smiles playfully at camera. ",LORA_I2V_Breast_Play_2_H.safetensors,2165895,LORA_I2V_Breast_Play_2_L.safetensors,2165919,,,,,,,,,,,,
Breast Play 2 Magic Wand,Breast Magic Wand,已测试,https://civitai.com/models/1913617,"a hand holding a magic wand appears from the bottom of the screen and shoots a powerful gust of sparkles at the woman, ripping her clothing and sending the ripped fabric flying off into the distance, she is flung backwards as the powerful blast knocks things over and she's stumbling back as she loses her balance. She naked very large breasts and starts grabbing her very large breasts",LORA_I2V_Breast_Play_2_H.safetensors,2165895,LORA_I2V_Breast_Play_2_L.safetensors,2165919,,,,,,,,,,,,
Water Splashing Naked,Water Splashing Naked,已测试,https://civitai.com/models/1913617,"a hand holding a bucket violently tosses a huge spray of water at the woman wearing a sweater and miniskirt, she gasps in surprise when water splashes across her body causing all of her clothes and sleeves to disappear completely and exposing her nudity, large breasts, and shaved pussy. There's no clothes left on her, she's entirely nude and bare. She covers her breasts, her mouth open in dismay. Afterward she is completely and entirely wet and dripping, her hair damp and wet as water runs down her body.",LORA_I2V_Breast_Play_2_H.safetensors,2165895,LORA_I2V_Breast_Play_2_L.safetensors,2165919,,,,,,,,,,,,
Breast Play 2 wave Hand,Breast Play Wave,已测试,https://civitai.com/models/1913617,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the man with a seductive stare. She keeps looking at the camera. 

The scene is a front view showing the woman walking. She still slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She don't adjusts the dress.  And then she pushes breasts them together with her hands seductively. She smiles playfully at camera. Finaly, she stopped touching her breasts and Wave at the camera. CAMERA MOVEMENT:Zoom out and Low-angle shot to her body.",LORA_I2V_Breast_Play_2_H.safetensors,2165895,LORA_I2V_Breast_Play_2_L.safetensors,2165919,,,,,,,,,,,,
Macromastia Massaging Huge Breasts,Macromastia,已测试,https://civitai.com/models/1852647,"m4crom4sti4 A man appears from off-screen and The man gets behind a woman. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the camera with a seductive stare. She keeps looking at the camera. 
Then the man is lifting and groping her breasts, touching her breasts and massaging her seductively. She smiles slightly at camera. Finaly, she stopped touching her breasts. Camera:Static Shot.",LORA_I2V_Macromastia_Huge_Breasts_H.safetensors,2265575,LORA_I2V_Macromastia_Huge_Breasts_L.safetensors,2266727,,,,,,,,,,,,
Macromastia Massaging Huge Breasts POV,POV Macromastia,已测试,https://civitai.com/models/1852647,"m4crom4sti4 A man appeared from under the screen. The man is off-screen and cannot be seen except for his arms. He unbuttons her shirt widely with his hands so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the camera with a seductive stare. She keeps looking at the camera. 
Then the man is lifting and groping her breasts, touching her breasts and massaging her seductively. She smiles slightly at camera. Finaly, she stopped touching her breasts. The man is off-screen and cannot be seen except for his arms.
The camera performs a smooth, crane down and zoom in to woman's face and breasts.",LORA_I2V_Macromastia_Huge_Breasts_H.safetensors,2265575,LORA_I2V_Macromastia_Huge_Breasts_L.safetensors,2266727,,,,,,,,,,,,
Macromastia Huge Breasts Low-angle,Huge Breasts Low-angle,已测试,https://civitai.com/models/1852647,"CAMERA MOVEMENT: orbit counterclockwise around a woman. She stares at the camera with a seductive stare. She keeps looking at the camera. 

CAMERA MOVEMENT:Low-angle shot to her body. She adjusts her tops to peep on her perfectly shaped breasts. She lifted the tops up so the viewer can see her breasts and nipples completely as she looks at the camera.She stares at the camera with a seductive stare. She keeps looking at the camera.",LORA_I2V_Macromastia_Huge_Breasts_H.safetensors,2265575,LORA_I2V_Macromastia_Huge_Breasts_L.safetensors,2266727,,,,,,,,,,,,
Macromastia Huge Breasts kiss,Macromastia kiss,已测试,https://civitai.com/models/1852647,"CAMERA MOVEMENT: static, focus on subject. She adjusts her Bikini top to peep on her perfectly shaped breasts. She lifted up and remove her bikini top, revealing her perky breasts. so the viewer can see her breasts and nipples completely as she looks at the camera.She stares at the camera with a seductive stare. She keeps looking at the camera. 
CAMERA MOVEMENT: Zoom in to woman's face.  She only put her lips close to the camera and made a kissing gesture. She stares at the camera with a seductive stare. She keeps looking at the camera.",LORA_I2V_Macromastia_Huge_Breasts_H.safetensors,2265575,LORA_I2V_Macromastia_Huge_Breasts_L.safetensors,2266727,,,,,,,,,,,,
Anal Reverse Cowgirl POV,Anal Cowgirl POV,已测试,https://civitai.com/models/1400486,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. then a man appears at the bottom and quickly inserts his penis into her anal. anal sex. she keeps looking at the camera throughout the whole video",LORA_I2V_Anal_Reverse_Cowgirl_POV_H.safetensors,2301414,LORA_I2V_Anal_Reverse_Cowgirl_POV_L.safetensors,2301389,,,,,,,,,,,,
Enhanced Walking Magic Nude Shy,Nude Walking Magic Shy,已测试,https://civitai.com/models/1363473,"the girl is walking,  and Her clothes magically morphs into nude body with medium breasts, nipple and perfect pussy. A spiral of magic stars descend around her as her clothes change. She looks down at her body,She bend and acts surprised, covers her vagina with her hands, opens her mouth and smiles while bending.",LORA_I2V_Enhanced_Walkin_H.safetensors,2254373,LORA_I2V_Enhanced_Walkin_L.safetensors,2254403,,,,,,,,,,,,
Enhanced Walking Magic Nude,Nude Walking Magic,已测试,https://civitai.com/models/1363473,"the girl is walking, and Her clothes magically morphs into nude body with medium breasts, nipple and perfect pussy. A spiral of magic stars descend around her as her clothes change. She stares at the camera with a seductive stare. She keeps looking at the camera.",LORA_I2V_Enhanced_Walkin_H.safetensors,2254373,LORA_I2V_Enhanced_Walkin_L.safetensors,2254403,,,,,,,,,,,,
Massage Tits,Massage Tits,已测试,https://civitai.com/models/1952945,She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the camera with a seductive stare. She keeps looking at the camera. A woman is standing naked. A man walks in from the right edge of screen. The man stands behind the woman. The man massages her breasts with his hands.,LORA_I2V_Massage_Tits_H.safetensors,2210306,LORA_I2V_Massage_Tits_L.safetensors,2210320,,,,,,,,,,,,
Pussy Licking,Pussy Licking,已测试,https://civitai.com/models/1954774,"cunn1l1ngu5 she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina.  Close-up from the left side on her vulva. A second woman walks into the frame from the right side, leaning in. Her tongue flicks and sucks rhythmically on the clitoris. The recipient's hips make small, involuntary circles and twitches of pleasure. Her vagina gets wet and shiny. The scene is intimate, sensual, and focused on the detailed motion. Masterpiece, ultra-detailed, photorealistic skin texture.",LORA_I2V_Pussy_Licking_H.safetensors,2212384,LORA_I2V_Pussy_Licking_L.safetensors,2212394,,,,,,,,,,,,
Pussy Licking Cum,Pussy Cum Licking,已测试,https://civitai.com/models/1954774,"cunn1l1ngu5, Female ejaculation,
She stands on one leg, raising the other above her head, keeping her face and upper body visible.
The camera quickly pulls back to reveal her vagina and anus.
She is naked from the waist down, with no pubic hair and no underwear.
Then a man walks into the frame from the right, leaning in. His tongue flicks and sucks rhythmically on her clitoris.
A large amount of clear liquid squirts from her vagina upward and to the right.
Her vagina suddenly erupts with a strong jet of clear, dispersed fluid, spraying onto the man's hair and face. He closes his eyes and leans his head back.
The fluid stops, leaving the man's hair completely soaked, pressed against his scalp, with droplets sliding down. He touches his face with his palm, and finally, the woman laughs happily. Her face, clothing, and hairstyle remain consistent throughout.",LORA_I2V_Pussy_Licking_H.safetensors,2212384,LORA_I2V_Pussy_Licking_L.safetensors,2212394,,,,,,,,,,,,
SideView Deepthroat,SideView Deepthroat,已测试,https://civitai.com/models/1845306,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the man with a seductive stare. She keeps looking at the camera. a large long erect penis emerges from the left side of the screen. 

the woman flashes a smile at the camera and them performs a deepthroat blowjob on the man's penis. the woman's eyes are open as she performs oral sex, and she has a playful happy excited expression. she bob's her head forward and backwards repeatedly as she pleasures the man's penis with her mouth. a woman performing a deepthroat blowjob on a man's circumcised penis. she pushes her face down to his pelvis, choking on his penis and it pushes down her throat.",LORA_I2V_SideView_Deepthroat_H.safetensors,2088264,LORA_I2V_SideView_Deepthroat_L.safetensors,2088443,,,,,,,,,,,,
POV Body Cumshot Pullout,POV Body Cumshot,已测试,https://civitai.com/models/2031069,"b0dyshot (pull0ut) (s3lf / p4rtner / sp0ntaneous)
video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. She stares at the man with a seductive stare. She keeps looking at the camera. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina.
a large long erect penis emerges from the left side of the screen.
The video shows a man ejaculating on a woman's stomach and chest.
He ejaculates on her stomach and breasts.
Her body and breasts covered in cum.
The cum spreads thickly across her stomach and breasts.
A huge, thick load of white cum shoots from the penis. the cum lands with a wet splat, spreading thickly across her stomach and breasts.
The woman is happy.The man is stroking his penis",LORA_I2V_POV_Body_Cumshot_Pullout_H.safetensors,2298673,LORA_I2V_POV_Body_Cumshot_Pullout_L.safetensors,2298928,,,,,,,,,,,,
Bouncy Forward Bends Show Her Breasts,Show Her Breasts,已测试,https://civitai.com/models/1433071,video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. bends forward to show her cleavage,LORA_I2V_Bouncy_Forward_Bends_H.safetensors,2207480,LORA_I2V_Bouncy_Forward_Bends_L.safetensors,2207776,,,,,,,,,,,,
Slop Bounce,Slop Bounce,已测试,https://civitai.com/models/1944129,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce, shake, jiggle and sway",LORA_I2V_Slop_Bounce_H.safetensors,2209354,LORA_I2V_Slop_Bounce_L.safetensors,2209344,,,,,,,,,,,,
Slop Bounce Kiss,Slop Bounce Kiss,已测试,https://civitai.com/models/1944129,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce and shake. the camera zooms in on her face and chest. 

her lips fill the entire screen and she kisses the camera with her lips.",LORA_I2V_Slop_Bounce_H.safetensors,2209354,LORA_I2V_Slop_Bounce_L.safetensors,2209344,,,,,,,,,,,,
Slop Twerk Undress,Slop Twerk Undress,已测试,https://civitai.com/models/2008663,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. 

twerks causing her ass to jiggle and shake",LORA_I2V_Slop_Twerk_H.safetensors,2273468,LORA_I2V_Slop_Twerk_L.safetensors,2273467,,,,,,,,,,,,
Slop Twerk Naked,Slop Twerk Naked,已测试,https://civitai.com/models/2008663,"video of best quality and hyperdetailed. She adjusts her dress to peep on her perfectly shaped breasts. She slips and pull down the shoulder straps of her dress so the viewer can see her breasts and nipples completely as she looks at the camera. her breasts bounce and shake. the camera zooms in on her face and chest. 

the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. 

twerks causing her ass to jiggle and shake",LORA_I2V_Slop_Twerk_H.safetensors,2273468,LORA_I2V_Slop_Twerk_L.safetensors,2273467,,,,,,,,,,,,
